Data/Hora,Protocolo,IP Origem,IP Destino,Tamanho
2025-11-09 21:52:12,HTTP,fd00:0:0:1::2,2001:1458:201:a4::100:1a0,80
2025-11-09 21:52:13,HTTP,172.27.0.2,188.184.67.127,60
2025-11-09 21:52:13,HTTP,2001:1458:201:a4::100:1a0,fd00:0:0:1::2,80
2025-11-09 21:52:13,HTTP,fd00:0:0:1::2,2001:1458:201:a4::100:1a0,72
2025-11-09 21:52:13,HTTP,fd00:0:0:1::2,2001:1458:201:a4::100:1a0,148
2025-11-09 21:52:13,HTTP,2001:1458:201:a4::100:1a0,fd00:0:0:1::2,72
2025-11-09 21:52:24,HTTP,188.184.67.127,172.27.0.2,60
2025-11-09 21:52:24,HTTP,172.27.0.2,188.184.67.127,40
2025-11-09 21:52:24,HTTP,2001:1458:201:a4::100:1a0,fd00:0:0:1::2,950
2025-11-09 21:52:24,HTTP,fd00:0:0:1::2,2001:1458:201:a4::100:1a0,72
2025-11-09 21:52:24,HTTP,2001:1458:201:a4::100:1a0,fd00:0:0:1::2,72
2025-11-09 21:52:24,HTTP,fd00:0:0:1::2,2001:1458:201:a4::100:1a0,72
2025-11-09 21:52:24,HTTP,2001:1458:201:a4::100:1a0,fd00:0:0:1::2,72
2025-11-09 21:53:17,HTTP,fd00:0:0:1::2,2001:1458:201:a4::100:1a0,80
2025-11-09 21:53:17,HTTP,172.27.0.2,188.184.67.127,60
2025-11-09 21:53:17,HTTP,2001:1458:201:a4::100:1a0,fd00:0:0:1::2,80
2025-11-09 21:53:17,HTTP,fd00:0:0:1::2,2001:1458:201:a4::100:1a0,72
2025-11-09 21:53:17,HTTP,fd00:0:0:1::2,2001:1458:201:a4::100:1a0,148
2025-11-09 21:53:17,HTTP,2001:1458:201:a4::100:1a0,fd00:0:0:1::2,72
2025-11-09 21:53:17,HTTP,188.184.67.127,172.27.0.2,60
2025-11-09 21:53:17,HTTP,172.27.0.2,188.184.67.127,40
2025-11-09 21:53:17,HTTP,2001:1458:201:a4::100:1a0,fd00:0:0:1::2,950
2025-11-09 21:53:17,HTTP,fd00:0:0:1::2,2001:1458:201:a4::100:1a0,72
2025-11-09 21:53:17,HTTP,2001:1458:201:a4::100:1a0,fd00:0:0:1::2,72
2025-11-09 21:53:17,HTTP,fd00:0:0:1::2,2001:1458:201:a4::100:1a0,72
2025-11-09 21:53:17,HTTP,2001:1458:201:a4::100:1a0,fd00:0:0:1::2,72
2025-11-09 21:57:57,HTTP,172.27.0.2,135.237.209.217,60
2025-11-09 21:57:57,HTTP,135.237.209.217,172.27.0.2,60
2025-11-09 21:57:57,HTTP,172.27.0.2,135.237.209.217,52
