Data/Hora,Protocolo,IP Origem,IP Destino,Protocolo Superior,Tamanho
2025-11-09 21:06:47,IPv6,::,ff02::16,0,116
2025-11-09 21:06:48,IPv6,::,ff02::16,0,96
2025-11-09 21:06:48,IPv6,fe80::fcf0:5bff:fe3a:18b,ff02::16,0,136
2025-11-09 21:06:48,IPv6,fe80::fcf0:5bff:fe3a:18b,ff02::16,0,76
2025-11-09 21:06:59,IPv6,fe80::4e7:a4ff:fe94:6535,ff02::16,0,116
2025-11-09 21:06:59,IPv6,fe80::4e7:a4ff:fe94:6535,ff02::16,0,76
2025-11-09 21:06:59,IPv6,fe80::fcf0:5bff:fe3a:18b,ff02::16,0,76
2025-11-09 21:06:59,IPv6,fe80::4e7:a4ff:fe94:6535,ff02::16,0,76
2025-11-09 21:06:49,IPv6,fe80::fcf0:5bff:fe3a:18b,ff02::16,0,136
2025-11-09 21:06:49,IPv6,fe80::4e7:a4ff:fe94:6535,ff02::16,0,116
2025-11-09 21:07:18,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:18,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:18,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:18,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:19,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:19,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:19,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:19,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:20,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:20,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:20,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:20,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:21,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:21,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:21,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:21,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:22,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:22,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:22,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:22,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:23,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:23,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:23,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:23,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:24,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:24,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:24,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:24,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:25,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:25,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:25,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:25,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:26,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:26,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:26,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:26,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:27,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:27,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:27,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:27,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:28,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:28,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:28,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:28,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:29,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:29,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:29,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:29,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:30,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:30,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:30,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:30,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:31,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:31,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:31,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:31,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:32,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:32,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:32,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:32,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:33,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:33,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:33,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:33,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:34,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:34,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:34,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:34,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:35,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:35,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:35,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:35,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:36,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:36,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:36,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:36,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:37,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:37,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:37,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:37,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:38,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:38,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:38,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:38,ICMP,172.27.0.2,172.27.0.3,,84
2025-11-09 21:07:39,IPv4,172.27.0.3,172.27.0.2,1,84
2025-11-09 21:07:39,ICMP,172.27.0.3,172.27.0.2,,84
2025-11-09 21:07:39,IPv4,172.27.0.2,172.27.0.3,1,84
2025-11-09 21:07:39,ICMP,172.27.0.2,172.27.0.3,,84
