Data/Hora,Protocolo,IP Origem,Porta Origem,IP Destino,Porta Destino,Tamanho
2025-11-09 21:52:12,TCP,fd00:0:0:1::2,44278,2001:1458:201:a4::100:1a0,80,80
2025-11-09 21:52:13,TCP,172.27.0.2,43634,188.184.67.127,80,60
2025-11-09 21:52:13,TCP,2001:1458:201:a4::100:1a0,80,fd00:0:0:1::2,44278,80
2025-11-09 21:52:13,TCP,fd00:0:0:1::2,44278,2001:1458:201:a4::100:1a0,80,72
2025-11-09 21:52:13,TCP,fd00:0:0:1::2,44278,2001:1458:201:a4::100:1a0,80,148
2025-11-09 21:52:13,TCP,2001:1458:201:a4::100:1a0,80,fd00:0:0:1::2,44278,72
2025-11-09 21:52:24,TCP,188.184.67.127,80,172.27.0.2,43634,60
2025-11-09 21:52:24,TCP,172.27.0.2,43634,188.184.67.127,80,40
2025-11-09 21:52:24,TCP,2001:1458:201:a4::100:1a0,80,fd00:0:0:1::2,44278,950
2025-11-09 21:52:24,TCP,fd00:0:0:1::2,44278,2001:1458:201:a4::100:1a0,80,72
2025-11-09 21:52:24,TCP,2001:1458:201:a4::100:1a0,80,fd00:0:0:1::2,44278,72
2025-11-09 21:52:24,TCP,fd00:0:0:1::2,44278,2001:1458:201:a4::100:1a0,80,72
2025-11-09 21:52:24,TCP,2001:1458:201:a4::100:1a0,80,fd00:0:0:1::2,44278,72
2025-11-09 21:53:17,TCP,fd00:0:0:1::2,57888,2001:1458:201:a4::100:1a0,80,80
2025-11-09 21:53:17,TCP,172.27.0.2,52836,188.184.67.127,80,60
2025-11-09 21:53:17,TCP,2001:1458:201:a4::100:1a0,80,fd00:0:0:1::2,57888,80
2025-11-09 21:53:17,TCP,fd00:0:0:1::2,57888,2001:1458:201:a4::100:1a0,80,72
2025-11-09 21:53:17,TCP,fd00:0:0:1::2,57888,2001:1458:201:a4::100:1a0,80,148
2025-11-09 21:53:17,TCP,2001:1458:201:a4::100:1a0,80,fd00:0:0:1::2,57888,72
2025-11-09 21:53:17,TCP,188.184.67.127,80,172.27.0.2,52836,60
2025-11-09 21:53:17,TCP,172.27.0.2,52836,188.184.67.127,80,40
2025-11-09 21:53:17,TCP,2001:1458:201:a4::100:1a0,80,fd00:0:0:1::2,57888,950
2025-11-09 21:53:17,TCP,fd00:0:0:1::2,57888,2001:1458:201:a4::100:1a0,80,72
2025-11-09 21:53:17,TCP,2001:1458:201:a4::100:1a0,80,fd00:0:0:1::2,57888,72
2025-11-09 21:53:17,TCP,fd00:0:0:1::2,57888,2001:1458:201:a4::100:1a0,80,72
2025-11-09 21:53:17,TCP,2001:1458:201:a4::100:1a0,80,fd00:0:0:1::2,57888,72
2025-11-09 21:57:57,TCP,172.27.0.2,49618,135.237.209.217,80,60
2025-11-09 21:57:57,TCP,135.237.209.217,80,172.27.0.2,49618,60
2025-11-09 21:57:57,TCP,172.27.0.2,49618,135.237.209.217,80,52
